,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
107,-2.0,-2.25,-6.0,-4.5,-6.25,-3.75,-1.0,-7.0,-6.0,-8.5
108,-0.625,-0.875,-10.5,-6.25,-11.0,-12.0,-7.0,-10.5,-10.5,-10.25
109,-2.75,-5.5,-5.5,-6.0,-6.75,-3.75,-0.5,-7.0,-4.25,-8.25
110,-0.25,-3.5,-6.5,-6.75,-7.75,-6.25,-2.75,-8.0,-7.75,-9.0
111,-0.25,-2.5,-4.75,-6.0,-6.75,-5.5,-2.75,-7.5,-8.0,-7.25
112,-0.25,-2.5,-5.0,-6.5,-5.75,-4.0,-2.75,-8.0,-5.75,-8.5
113,-0.5,-3.25,-5.5,-5.25,-4.75,-4.0,-2.0,-6.75,-6.5,-7.75
114,-2.25,-2.25,-2.25,-6.75,-5.0,-2.0,-2.5,-8.0,-5.5,-8.25
115,-0.75,-3.75,-6.5,-7.5,-6.5,-4.75,-1.25,-7.75,-6.5,-8.25
116,-0.5,-3.25,-5.5,-8.75,-5.0,-3.5,-1.25,-6.75,-4.5,-7.25
117,-1.0,-3.5,-6.0,-5.0,-5.0,-4.5,-0.75,-7.25,-6.25,-7.75
118,-0.75,-2.5,-4.5,-5.75,-5.25,-3.0,-2.0,-7.5,-5.75,-7.75
119,-1.0,-3.5,-2.75,-5.0,-4.0,-3.0,-1.0,-7.25,-4.25,-8.5
120,-0.75,-1.0,-7.0,-6.25,-5.75,-4.0,-2.75,-8.0,-5.75,-8.25
121,-1.0,-1.75,-5.25,-7.25,-4.0,-1.75,-2.75,-8.0,-4.0,-9.0
122,-1.0,-1.25,-5.25,-6.75,-3.25,-2.75,-2.25,-7.75,-4.0,-8.5
123,-0.75,-1.25,-5.75,-6.75,-4.25,-3.75,-3.25,-7.5,-4.75,-9.75
124,-1.0,-1.5,-5.25,-5.75,-6.25,-3.5,-1.75,-7.0,-4.25,-8.25
125,-0.5,-2.75,-6.75,-6.25,-7.25,-3.0,-3.25,-7.0,-6.25,-7.5
126,-0.75,-2.75,-6.75,-6.5,-4.75,-3.0,-1.25,-5.5,-4.5,-6.75
127,-1.0,-2.25,-6.25,-6.0,-5.25,-2.75,-1.5,-6.75,-4.75,-9.25
128,-2.5,-1.5,-8.25,-8.0,-8.5,-4.25,-5.75,-9.0,-8.25,-9.5
129,-1.75,-4.0,-5.25,-7.5,-2.25,-2.75,-1.0,-7.5,-3.25,-8.0
130,-0.25,-3.0,-6.75,-5.75,-5.5,-4.0,-2.75,-7.75,-6.5,-9.25
131,-0.25,-3.25,-7.25,-6.25,-6.25,-4.5,-2.5,-8.0,-8.0,-8.5
132,-0.75,-1.75,-5.25,-6.75,-3.5,-3.0,-2.75,-7.5,-5.75,-7.75
133,-0.5,-4.25,-5.5,-4.75,-3.5,-4.0,-1.5,-7.0,-6.0,-8.25
134,-0.5,-2.25,-5.25,-6.5,-5.0,-3.0,-1.75,-8.25,-5.5,-8.75
135,-0.5,-4.0,-6.25,-5.5,-6.75,-5.0,-2.5,-7.5,-8.0,-8.0
136,-0.75,-2.75,-6.25,-7.25,-4.25,-3.25,-1.5,-7.75,-5.25,-8.25
137,-2.25,-2.5,-8.25,-5.25,-6.5,-6.0,-2.0,-8.0,-9.25,-9.5
138,-0.25,-3.0,-5.75,-6.5,-4.75,-4.25,-2.25,-7.5,-6.25,-7.5
139,-0.75,-3.5,-4.75,-5.75,-4.0,-3.25,-1.25,-7.25,-5.25,-8.25
140,-2.75,-4.0,-4.25,-7.0,-4.75,-1.25,-1.0,-8.0,-5.75,-9.0
141,-0.75,-2.75,-5.0,-6.0,-4.0,-3.25,-1.5,-7.75,-5.5,-8.0
142,-0.75,-2.5,-6.0,-7.0,-4.5,-3.0,-1.0,-7.75,-4.75,-8.0
143,-2.0,-2.25,-3.75,-8.0,-3.5,-1.75,-1.5,-8.0,-3.5,-9.25
144,-1.75,-2.75,-6.5,-7.0,-4.5,-1.5,-1.75,-8.5,-4.75,-8.5
145,-1.75,-4.5,-6.5,-7.75,-6.0,-3.25,-0.25,-7.75,-5.75,-9.0
146,-1.0,-3.25,-6.25,-8.5,-4.75,-3.0,-0.5,-7.0,-5.0,-8.5
147,-1.75,-3.25,-6.0,-6.0,-4.75,-3.75,-0.5,-7.0,-6.25,-9.0
148,-0.75,-2.75,-6.75,-7.0,-6.0,-3.5,-1.5,-7.75,-6.25,-8.25
149,-1.75,-4.0,-6.0,-6.75,-5.25,-3.5,-0.5,-7.75,-5.75,-8.25
150,-0.5,-3.5,-7.25,-6.5,-6.5,-4.75,-2.0,-7.0,-6.0,-7.75
151,-0.75,-3.25,-6.0,-6.5,-3.75,-3.5,-1.75,-6.5,-4.75,-7.25
